,RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,From_OSMID,To_OSMID,Adj_Mat_id,WktGeom,street,fromSt,toSt,Direction
34,8542,Manhattan,2012,6,27,4,45,83,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
35,8542,Manhattan,2012,6,27,5,0,71,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
36,8542,Manhattan,2012,6,27,5,15,76,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
37,8542,Manhattan,2012,6,26,21,0,76,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
38,8542,Manhattan,2012,6,26,18,15,11,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
39,8542,Manhattan,2012,6,26,18,30,13,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
40,8542,Manhattan,2012,6,26,18,45,18,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
41,8542,Manhattan,2012,6,26,14,15,8,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
42,8542,Manhattan,2012,6,27,10,0,50,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
43,8542,Manhattan,2012,6,27,10,15,48,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
44,8542,Manhattan,2012,6,27,10,30,49,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
45,8542,Manhattan,2012,6,27,10,45,49,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
46,17657,Manhattan,2014,7,11,8,45,175,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
47,8542,Manhattan,2012,6,26,17,45,7,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
48,1186,Manhattan,2011,8,22,8,0,0,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PK W,W 71 ST,W 72 ST,NB
49,8542,Manhattan,2012,6,26,12,30,224,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
50,8542,Manhattan,2012,6,26,12,45,57,37081,42435272,42435275,156,POINT (-73.97620640073941 40.775876110222455),CENTRAL PARK W,W 71 ST,CPW 72 APPR/W 72 ST,NB
