ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.442251089,0.442698829,0.415803436,0.416226778,0.416316992,0.416314253,0.66483331,0.863660995,0.886168013,0.936356186,0.706644384,0.706504606,0.706685486,0.750865281,0.750589824,0.75086119,0.750866861,0.750527669,0.75030599,0.935781227,0.70772712,0.936147631,0.936181132,0.819988595
2,0.520361599,0.525450479,0.642490345,0.646810319,0.64772402,0.647692371,1.02332485,0.905072773,0.885838979,0.803285268,0.821634737,0.820029769,0.822102409,0.873622686,0.870464413,0.873575979,0.873643058,0.869749531,0.867199685,0.793752022,0.833991414,0.79983951,0.800395344,0.713992008
3,0.575792451,0.575796663,0.463656202,0.463661968,0.46366335,0.463663241,0.741843239,0.993267966,0.697113356,0.693153781,0.921258659,0.921257176,0.921258889,0.978837775,0.978835085,0.978837588,0.978837781,0.978834553,0.97883245,0.693138083,0.921268689,0.69314842,0.693149418,0.606528414
4,0.491385993,0.491413532,0.542254249,0.542276306,0.542281095,0.542280822,0.867583561,0.647281807,0.592823754,0.593631139,0.78615868,0.786149955,0.786161127,0.835296863,0.835279925,0.835296755,0.835297009,0.835276133,0.835262655,0.593541758,0.786225312,0.593598664,0.593603794,0.519532333
5,0.438796634,0.438797039,0.547696944,0.547697184,0.547697295,0.54769746,0.876315121,0.700511448,0.936613849,1.075710503,0.702073578,0.702073472,0.702073527,0.745953132,0.74595296,0.745953176,0.745953198,0.745952933,0.745952719,1.075710224,0.702074618,1.075710484,1.075710392,0.941246992
6,0.512619645,0.512619738,0.523901742,0.52390176,0.523901839,0.523901814,0.838242424,0.896269289,0.631460664,0.844503398,0.820190552,0.820190385,0.820190332,0.871452394,0.871452222,0.871452267,0.871452215,0.871452177,0.871452154,0.844503286,0.820190698,0.844503631,0.84450375,0.738940927
7,0.391866905,0.391871359,0.576471686,0.576473423,0.576473888,0.576473862,0.92235304,0.64072284,0.839370233,0.78646041,0.626977442,0.626975984,0.626977773,0.666164094,0.666161304,0.666163927,0.666164066,0.666160738,0.666158532,0.786456906,0.626988113,0.786459074,0.786459281,0.688157046
8,0.504929093,0.504929365,0.571340649,0.571340624,0.571340716,0.57134088,0.914144673,0.811746462,0.768217124,0.840623716,0.807885881,0.807885717,0.807885813,0.858378607,0.85837848,0.858378729,0.858378684,0.858378459,0.858378482,0.840623177,0.807886439,0.840623556,0.840623572,0.735546385
9,0.349739981,0.349742391,0.410944411,0.410946122,0.410946523,0.410946609,0.657509431,0.880677197,1.013058149,0.626717921,0.559578912,0.559578141,0.559579123,0.594552844,0.594551309,0.594552836,0.594552903,0.594551128,0.594549935,0.626712757,0.559584659,0.626716132,0.626716301,0.548384419
10,0.401082487,0.401082847,0.590542796,0.590542827,0.590542891,0.590542847,0.944867873,0.770229949,0.627163208,0.772643633,0.641728264,0.641727936,0.641727895,0.681836144,0.681836064,0.681835833,0.681835923,0.681835631,0.681835521,0.77264323,0.641729465,0.772644194,0.772644459,0.676064397
